,City,Temperature,Humidity,Clouds,Wind,Longitude,Latitude
477,Krasnyy Chikoy,-11.36,56,0,1.78,108.75,50.36
478,Yilan,21.1,82,75,1.0,121.75,24.75
479,Campo Grande,28.0,54,0,3.1,-54.62,-20.46
480,Sao Domingos,19.9,97,100,1.18,-46.32,-13.4
481,Sapa,28.22,61,75,3.1,120.76,14.32
482,Banda Aceh,24.42,99,32,1.18,95.32,5.56
483,Uspenka,6.32,96,92,1.98,39.16,48.39
484,Palembang,25.0,94,20,0.5,104.76,-2.99
485,Asmar,4.37,68,8,0.83,71.36,35.03
486,Cochrane,7.95,57,0,1.18,-72.57,-47.25
487,Mehamn,-5.63,83,64,2.33,27.85,71.03
488,Lufkin,20.39,43,1,3.6,-94.73,31.34
489,Kurilsk,0.2,89,64,7.53,147.88,45.23
490,Samarai,28.05,100,64,4.23,150.67,-10.62
491,Areosa,16.58,23,0,3.6,-8.86,41.72
492,Deori Khas,13.55,60,0,1.33,79.03,23.39
493,Jumla,-7.36,55,0,0.88,82.18,29.28
494,San Luis,15.97,91,100,1.78,-66.34,-33.3
495,Sri Aman,23.93,94,20,1.33,111.46,1.24
496,Mount Gambier,13.0,87,90,2.1,140.78,-37.83
497,Hami,3.17,84,0,1.48,93.51,42.84
498,Corpus Christi,22.77,69,75,7.2,-97.4,27.8
499,Nelson Bay,22.15,72,75,5.1,152.14,-32.72
500,Buraydah,15.0,44,0,4.6,43.97,26.33
501,Mumford,25.67,93,0,2.68,-0.76,5.26
502,Vardo,6.63,30,1,2.6,-77.74,39.62
503,Maniitsoq,-12.43,73,0,4.13,-52.9,65.42
504,Chapada dos Guimaraes,31.0,70,20,3.6,-55.75,-15.46
505,Timbuktu,28.95,32,48,3.08,-3.01,16.77
506,Trairi,28.65,100,24,2.98,-39.27,-3.28
507,Cacu,20.52,93,48,1.28,-51.13,-18.56
508,Pak Phanang,28.95,94,100,6.73,100.2,8.35
509,Cairns,26.19,78,90,2.6,145.77,-16.92
510,Bonavista,-3.33,72,56,1.34,-53.11,48.65
511,Hay River,3.0,70,75,4.6,-115.79,60.82
512,Sal Rei,21.0,68,40,4.1,-22.92,16.18
513,Ribeira do Pombal,23.9,84,12,3.93,-38.54,-10.84
514,Richards Bay,20.07,90,92,1.93,32.06,-28.77
515,Kalvarija,-0.57,94,0,6.13,23.23,54.41
516,Muros,10.88,66,0,3.6,-9.06,42.77
517,Port-Gentil,27.0,88,20,2.1,8.78,-0.72
518,Bytow,-1.95,92,0,2.1,17.49,54.17
519,Monrovia,26.0,94,40,2.78,-10.8,6.33
520,Lishu,0.07,52,76,4.98,124.32,43.31
521,Muncar,25.4,100,32,0.58,114.34,-8.43
522,Sinnamary,26.97,92,88,5.13,-52.96,5.38
523,Pangody,-0.23,93,64,8.98,74.49,65.85
524,Mitsamiouli,27.87,100,0,1.78,43.28,-11.38
525,Palma di Montechiaro,8.36,92,68,0.89,13.77,37.19
526,Obihiro,2.0,51,40,4.6,143.2,42.92
527,Beloha,21.22,90,0,0.28,45.06,-25.17
528,Yumen,4.42,56,12,7.93,97.04,40.29
529,Port Blair,27.17,100,80,3.33,92.75,11.67
530,Xingcheng,4.7,36,0,5.53,120.71,40.62
531,Floro,4.04,100,75,2.1,5.03,61.6
532,Namatanai,28.42,98,24,5.43,152.44,-3.66
533,San Cristobal,17.92,72,75,5.1,-78.55,-0.39
534,Daokou,3.37,57,88,2.53,105.12,35.61
535,Inirida,25.8,86,8,0.88,-67.92,3.87
536,Victoria,25.38,94,75,1.88,115.24,5.28
537,Redlands,22.4,33,75,1.13,-117.19,34.06
538,Victoria,25.38,94,75,1.88,115.24,5.28
539,Ancud,19.0,59,0,3.1,-73.83,-41.87
540,Lavrentiya,0.62,95,88,13.98,-170.99,65.58
541,La Palma,21.17,94,8,0.83,-74.39,5.36
542,Seoul,9.19,66,90,1.5,126.98,37.57
543,Suzhou,18.31,35,20,4.48,120.58,31.3
544,Suraabad,7.0,81,90,3.6,49.47,40.82
545,Payo,22.72,98,88,1.93,103.64,-3.75
546,Yankton,16.85,51,1,6.7,-97.4,42.87
547,Saint-Francois,2.05,69,0,2.6,3.91,46.42
548,Pleasanton,18.38,52,90,1.5,-121.87,37.66
549,Roblin,2.42,89,0,3.98,-101.35,51.23
550,Mangan,-5.68,80,32,0.78,88.54,27.5
551,Vicam,31.37,23,90,5.1,-110.3,27.64
552,Sovetskiy,-0.13,96,92,4.38,48.47,56.76
553,Holme,7.9,70,90,1.0,-2.31,53.7
554,Pauini,26.77,86,64,2.18,-67.0,-7.71
555,Boundiali,22.57,88,80,2.23,-6.48,9.53
556,Filadelfia,24.97,65,8,6.38,-60.04,-22.35
557,Pahrump,23.18,10,1,8.2,-115.98,36.21
558,Hambantota,26.02,100,0,3.88,81.12,6.12
